City,RMSE,MAE,R2,Mean_AQI,N_days,AQI_std,AQI_mean,AQI_max,data_days,CV
Hyderabad,6.03,4.79,0.9477,78.2,183,51.11084166158661,108.8857447944474,500.0,1873,0.4693988341455786
Aizawl,6.5,5.78,0.8903,33.4,104,19.727787160713238,33.36538461538461,92.0,104,0.5912650906957282
Bengaluru,6.57,5.2,0.8854,79.7,183,39.81642463417554,94.15501839201261,352.0,1903,0.4228815979664581
Mumbai,7.78,5.7,0.9787,103.6,183,47.55998706427491,105.57682291666667,307.0,768,0.4504775361711225
Amaravati,8.05,6.19,0.8902,59.9,183,55.67592698680906,94.54556354916068,312.0,834,0.5888793180428752
Chandigarh,9.03,6.86,0.8838,71.4,182,57.840429828058326,96.64383561643835,335.0,292,0.5984906275617659
Thiruvananthapuram,9.55,5.75,0.782,66.5,183,28.365391279941942,76.09473684210526,230.0,1045,0.3727641681552752
Shillong,9.73,7.43,0.904,57.9,142,28.355639219515968,54.11616161616162,182.0,198,0.5239772809579245
Coimbatore,10.2,8.43,0.7706,68.2,156,18.203729274591346,73.13056379821958,120.0,337,0.24892094808428825
Kolkata,10.58,7.72,0.981,117.3,183,104.79617239256805,141.15796519410978,475.0,747,0.7424035352766687
Chennai,10.84,8.23,0.7802,80.3,183,50.15770710268509,113.69685668620139,449.0,1877,0.44115297963881517
Jaipur,11.27,7.45,0.7964,105.1,183,54.35500654464751,133.91904323827046,457.0,1087,0.40587959135832824
Bhopal,11.78,9.12,0.9061,114.8,173,56.114209519916606,134.1328413284133,312.0,271,0.41834802695728746
Visakhapatnam,12.57,9.54,0.8926,84.7,178,54.99654372188415,117.45704467353951,387.0,1164,0.46822686433786687
Delhi,13.01,9.63,0.9793,181.7,183,115.90248890218804,257.7675702811245,500.0,1992,0.44963952903688914
Gurugram,14.65,11.18,0.9511,158.7,183,115.49114391012883,223.78838174273858,500.0,1446,0.5160730106306166
Kochi,18.09,10.38,0.6883,102.1,151,32.505955983372274,102.05298013245033,277.0,151,0.3185203993179243
Guwahati,19.57,13.15,0.9714,161.5,183,104.52105410636835,138.202868852459,500.0,488,0.7562871521715784
Patna,22.4,16.97,0.8937,162.3,183,120.9091458361963,240.17355371900825,500.0,1452,0.5034240613254792
Talcher,24.11,14.49,0.9288,160.7,156,103.80174613200123,171.3096960926194,500.0,691,0.6059303617927168
Brajrajnagar,28.5,19.47,0.675,137.1,121,69.29951607402135,148.94900849858357,355.0,706,0.46525664569751307
Amritsar,33.49,12.0,0.4844,93.0,174,71.89161247928406,119.48882931188561,500.0,1119,0.6016596939922733
