City,RMSE,MAE,R2,Mean_AQI,N_days
Hyderabad,6.03,4.79,0.9477,78.2,183
Aizawl,6.5,5.78,0.8903,33.4,104
Bengaluru,6.57,5.2,0.8854,79.7,183
Mumbai,7.78,5.7,0.9787,103.6,183
Amaravati,8.05,6.19,0.8902,59.9,183
Chandigarh,9.03,6.86,0.8838,71.4,182
Thiruvananthapuram,9.55,5.75,0.782,66.5,183
Shillong,9.73,7.43,0.904,57.9,142
Coimbatore,10.2,8.43,0.7706,68.2,156
Kolkata,10.58,7.72,0.981,117.3,183
Chennai,10.84,8.23,0.7802,80.3,183
Jaipur,11.27,7.45,0.7964,105.1,183
Bhopal,11.78,9.12,0.9061,114.8,173
Visakhapatnam,12.57,9.54,0.8926,84.7,178
Delhi,13.01,9.63,0.9793,181.7,183
Gurugram,14.65,11.18,0.9511,158.7,183
Kochi,18.09,10.38,0.6883,102.1,151
Guwahati,19.57,13.15,0.9714,161.5,183
Patna,22.4,16.97,0.8937,162.3,183
Talcher,24.11,14.49,0.9288,160.7,156
Brajrajnagar,28.5,19.47,0.675,137.1,121
Amritsar,33.49,12.0,0.4844,93.0,174
