Feature,SHAP_Mean,SHAP_Rank
AQI_lag_1,47.716590810407986,1
PM2.5,24.729814866861012,2
CO,6.231774215511547,3
PM10,4.972524322840276,4
PM2.5_lag_1,3.6357252587898405,5
NO,3.360557256682935,6
O3,1.8592932667049995,7
PM10_lag_1,1.2258763901556342,8
NH3,0.8796916527007891,9
NOx,0.8310323456303031,10
AQI_rolling_30d,0.3174230533748822,11
AQI_lag_7,0.3060588953947443,12
SO2,0.2980810929221079,13
AQI_rolling_14d,0.27270746379707533,14
NO2,0.26967567508357565,15
NO2_lag_1,0.2582545808856947,16
City_encoded,0.24897282683170283,17
AQI_lag_3,0.20002425693610595,18
AQI_rolling_7d,0.19748926320477625,19
Year,0.19061559027953778,20
AQI_rolling_7d_std,0.16639375360861836,21
Season_encoded,0.13820174231608837,22
Day,0.13610201506061195,23
Month,0.06760351278134025,24
DayOfWeek,0.048903797437213785,25
Quarter,0.017028412112439197,26
